date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-06-05,6.57,6.85,6.76,6.48,8628633.0,0.28,4.32,6.6,6.718,6.645,6104954.2,7151824.3,7012494.58,5.48
2015-06-04,6.48,6.55,6.48,6.01,5450568.5,-0.02,-0.31,6.518,6.73,6.609,5715801.0,6920381.5,6832984.05,3.46
2015-06-03,6.65,6.65,6.5,6.36,5524387.0,-0.15,-2.26,6.522,6.752,6.584,6709222.7,6794033.7,6807961.8,3.51
2015-06-02,6.6,6.7,6.65,6.49,5517522.5,0.04,0.6,6.65,6.776,6.584,7300177.5,6823952.65,6759281.93,3.5
2015-06-01,6.39,6.64,6.61,6.27,5403660.0,0.26,4.09,6.742,6.781,6.577,7807062.2,6792136.2,6735440.48,3.43
2015-05-29,6.47,6.65,6.35,6.01,6682867.0,-0.15,-2.31,6.836,6.778,6.592,8198694.4,6899082.3,6695234.78,4.25
2015-05-28,7.15,7.44,6.5,6.43,10417677.0,-0.64,-8.96,6.942,6.837,6.613,8124962.0,7770517.8,6579361.05,6.62
2015-05-27,7.11,7.2,7.14,6.95,8479161.0,0.03,0.42,6.982,6.864,6.635,6878844.7,7702592.4,6353234.03,5.39
2015-05-26,7.09,7.19,7.11,6.9,8051946.0,0.03,0.42,6.902,6.765,6.615,6347727.8,7424479.7,6298633.48,5.11
2015-05-25,6.9,7.23,7.08,6.83,7361821.0,0.2,2.91,6.82,6.665,6.617,5777210.2,7089940.75,6244762.9,4.68
2015-05-22,6.74,6.99,6.88,6.7,6314205.0,0.18,2.69,6.72,6.571,6.621,5599470.2,6873164.85,6261055.83,4.01
2015-05-21,6.73,6.73,6.7,6.6,4187090.5,-0.04,-0.59,6.732,6.488,6.641,7416073.6,6745586.6,6479257.48,2.66
2015-05-20,6.69,6.89,6.74,6.61,5823576.5,0.04,0.6,6.746,6.415,6.66,8526340.1,6821889.9,6881299.15,3.7
2015-05-19,6.57,6.88,6.7,6.5,5199358.0,0.12,1.82,6.628,6.392,6.672,8501231.6,6694611.2,7243066.98,3.3
2015-05-18,6.7,6.79,6.58,6.54,6473121.0,-0.36,-5.19,6.51,6.373,6.655,8402671.3,6678744.75,7470735.83,4.11
2015-05-15,7.15,7.44,6.94,6.9,15397222.0,0.17,2.51,6.422,6.406,6.64,8146859.5,6491387.25,7537378.23,9.78
2015-05-14,6.1,6.77,6.77,5.99,9738423.0,0.62,10.08,6.244,6.389,6.598,6075099.6,5388204.3,6988897.43,6.19
2015-05-13,6.08,6.32,6.15,6.01,5698034.0,0.04,0.66,6.084,6.406,6.565,5117439.7,5003875.65,6786426.88,3.62
2015-05-12,6.13,6.15,6.11,6.03,4706556.5,-0.03,-0.49,6.156,6.465,6.582,4887990.8,5172787.25,7015484.93,2.99
2015-05-11,6.11,6.15,6.14,5.93,5194062.0,0.09,1.49,6.236,6.569,6.582,4954818.2,5399585.05,7081613.88,3.3
2015-05-08,6.0,6.11,6.05,5.78,5038422.5,0.08,1.34,6.39,6.671,6.577,4835915.0,5648946.8,7064075.43,3.2
2015-05-07,6.46,6.46,5.97,5.91,4950123.5,-0.54,-8.29,6.534,6.794,6.575,4701309.0,6212928.35,7079224.03,3.14
2015-05-06,6.75,6.84,6.51,6.37,4550789.5,0.0,0.0,6.728,6.904,6.58,4890311.6,6940708.4,7159985.8,2.89
2015-05-05,6.88,6.99,6.51,6.4,5040693.5,-0.4,-5.79,6.774,6.952,6.555,5457583.7,7791522.75,7211410.58,3.2
2015-05-04,6.77,7.03,6.91,6.7,4599546.0,0.14,2.07,6.902,6.936,6.528,5844351.9,8262726.9,7187732.1,2.92
2015-04-30,6.95,7.05,6.77,6.74,4365392.5,-0.17,-2.45,6.952,6.873,6.477,6461978.6,8583369.2,7190721.5,2.77
2015-04-29,6.85,7.18,6.94,6.84,5895136.5,0.2,2.97,7.054,6.806,6.437,7724547.7,8589590.55,7228590.68,3.74
2015-04-28,7.1,7.1,6.74,6.63,7387150.0,-0.41,-5.73,7.08,6.724,6.386,8991105.2,8568978.1,7324723.53,4.69
2015-04-27,7.21,7.29,7.15,7.0,6974534.5,-0.01,-0.14,7.13,6.699,6.356,10125461.8,8858182.6,7476845.93,4.43
